ingredient,category
Adapalene,acne
Allantoin,"acne, hydration, barrierrepair, soothing"
Alpha Arbutin,"acne, whitening"
Ammonium Lactate,"acne, exfoliation"
Asiatic Acid,"acne, soothing"
Asiaticoside,"acne, hydration, barrierrepair, soothing"
Azadirachta Indica (Neem) Extract,acne
Azadirachta Indica Extract,acne
Azelaic Acid,"acne, whitening, oilcontrol"
Benzoyl Peroxide,acne
Betaine Salicylate,"acne, exfoliation, oilcontrol"
Bisabolol,"acne, barrierrepair, soothing"
Bromelain,"acne, exfoliation"
Camellia Sinensis Leaf Extract,"acne, wrinkle, barrierrepair, soothing, oilcontrol, antioxidant"
Capryloyl Salicylic Acid,"acne, exfoliation, oilcontrol"
Centella Asiatica Extract,"acne, wrinkle, hydration, barrierrepair, soothing, antioxidant"
Citric Acid,"acne, whitening, wrinkle, exfoliation"
Dipotassium Glycyrrhizate,"acne, whitening, soothing"
Epigallocatechin Gallate,"acne, antioxidant"
Galactose,"acne, exfoliation"
Gluconolactone,"acne, exfoliation"
Glycolic Acid,"acne, whitening, wrinkle, exfoliation, oilcontrol"
Glycyrrhiza Glabra Root Extract,"acne, whitening"
Hamamelis Virginiana Extract,"acne, oilcontrol"
Hamamelis Virginiana Extract (Witch Hazel),"acne, oilcontrol"
Honey Extract,acne
Hydroxypinacolone Retinoate,"acne, wrinkle"
Hydroxypinacolone Retinoate (HPR),"acne, wrinkle"
Kojic Acid,"acne, whitening"
L-Carnitine,"acne, oilcontrol"
Lactic Acid,"acne, whitening, wrinkle, exfoliation, oilcontrol"
Lactobionic Acid,"acne, exfoliation"
Madecassoside,"acne, wrinkle, hydration, barrierrepair, soothing"
Malic Acid,"acne, exfoliation"
Mandelic Acid,"acne, whitening, wrinkle, exfoliation"
Melaleuca Alternifolia (Tea Tree) Leaf Oil,"acne, oilcontrol"
Niacinamide,"acne, whitening, wrinkle, oilcontrol"
Panthenol,"acne, wrinkle, hydration, barrierrepair, soothing"
Papain,"acne, exfoliation"
Potassium Azeloyl Diglycinate,"acne, whitening"
Propolis Extract,acne
Resorcinol,"acne, exfoliation"
Retinal,"acne, wrinkle"
Retinaldehyde,"acne, wrinkle"
Retinol,"acne, wrinkle"
Retinyl Palmitate,"acne, wrinkle"
Retinyl Propionate,"acne, wrinkle"
Salicylic Acid,"acne, exfoliation, oilcontrol"
Salix Alba (Willow) Bark Extract,"acne, exfoliation"
Salix Alba Bark Extract,"acne, exfoliation"
Sarcosine,"acne, oilcontrol"
Sodium Lactate,"acne, exfoliation, hydration"
Sodium Salicylate,"acne, exfoliation"
Subtilisin,"acne, exfoliation"
Sulfur,"acne, exfoliation, oilcontrol"
Tartaric Acid,"acne, exfoliation"
Tea Tree Oil,acne
Tranexamic Acid,"acne, whitening"
Willow Bark Extract,acne
Willow Bark Extract (Salix Alba Bark Extract),acne
Zinc Gluconate,"acne, oilcontrol"
Zinc Oxide,acne
Zinc PCA,"acne, oilcontrol"
Zinc Sulfate,"acne, oilcontrol"
3-O-Ethyl Ascorbic Acid,"whitening, wrinkle, antioxidant"
4-Butylresorcinol,whitening
Arbutin,whitening
Arctostaphylos Uva-Ursi Leaf Extract,whitening
Arctostaphylos Uva-Ursi Leaf Extract (Bearberry),whitening
Ascorbic Acid,"whitening, wrinkle, antioxidant"
Ascorbyl Glucoside,"whitening, wrinkle, antioxidant"
Ascorbyl Tetraisopalmitate,whitening
Camellia Sinensis Extract,whitening
Cetyl Tranexamate Mesylate,whitening
Decapeptide-12,whitening
Glabridin,whitening
Hexylresorcinol,whitening
Hydroquinone,whitening
Kojic Dipalmitate,whitening
Licorice Extract,whitening
Magnesium Ascorbyl Phosphate,"whitening, wrinkle, antioxidant"
Mequinol,whitening
Morus Alba Root Extract ,whitening
Morus Alba Root Extract (Mulberry),whitening
Nonapeptide-1,whitening
Oligopeptide-68,"whitening, wrinkle"
Papaya Extract,whitening
Phenylethyl Resorcinol,whitening
Phenylethyl Resorcinol (SymWhite 377),whitening
Punica Granatum Extract,"whitening, wrinkle, antioxidant"
Scutellaria Baicalensis Root Extract,whitening
Sodium Ascorbyl Phosphate,"whitening, wrinkle, antioxidant"
Sodium Ascorbyl Tetraisopalmitate,whitening
Tetrahexyldecyl Ascorbate,"whitening, wrinkle, antioxidant"
Vitamin C derivatives,whitening
Acetyl Hexapeptide-8,wrinkle
Adenosine,wrinkle
Bakuchiol,wrinkle
Ceramides,"wrinkle, hydration, barrierrepair"
Coenzyme Q10,"wrinkle, antioxidant"
Coenzyme Q10 (Ubiquinone),wrinkle
Copper Tripeptide-1,wrinkle
Elastin,wrinkle
Ferulic Acid,"wrinkle, antioxidant"
Ginseng Root Extract,wrinkle
Glycerin,"wrinkle, hydration, barrierrepair, soothing"
Hyaluronic Acid,"wrinkle, hydration"
Hydrolyzed Collagen,wrinkle
Hydrolyzed Hyaluronic Acid,"wrinkle, hydration"
Idebenone,"wrinkle, antioxidant"
Oligopeptide-1,wrinkle
Palmitoyl Pentapeptide-4,wrinkle
Palmitoyl Tetrapeptide-7,wrinkle
Palmitoyl Tripeptide-1,wrinkle
Peptides,wrinkle
Resveratrol,"wrinkle, antioxidant"
Retinyl Acetate,wrinkle
Sodium Acetylated Hyaluronate,"wrinkle, hydration"
Sodium Hyaluronate,"wrinkle, hydration, soothing"
Soluble Collagen,wrinkle
Tocopherol,"wrinkle, antioxidant"
Tocopherol (Vitamin E),wrinkle
Tocopheryl Acetate,"wrinkle, antioxidant"
Vitamin C,"wrinkle, antioxidant"
Apricot Seed Powder,exfoliation
Capryloyl Salicylic Acid (LHA),exfoliation
Cellulose,exfoliation
Hydrated Silica,"exfoliation, oilcontrol"
Jojoba Esters,exfoliation
Urea,"exfoliation, hydration, barrierrepair"
Walnut Shell Powder,exfoliation
Alanine,hydration
Aloe Barbadensis Leaf Extract,"hydration, soothing"
Arginine,hydration
Beeswax,hydration
Betaine,"hydration, barrierrepair, soothing"
Butylene Glycol,hydration
Ceramide AP,"hydration, barrierrepair"
Ceramide AS,"hydration, barrierrepair"
Ceramide EOP,"hydration, barrierrepair"
Ceramide NP,"hydration, barrierrepair, soothing"
Ceramide NS,"hydration, barrierrepair"
Cholesterol,"hydration, barrierrepair, soothing"
Cyclopentasiloxane,hydration
Dimethicone,"hydration, barrierrepair"
Glycine,hydration
Hydroxypropyltrimonium Hyaluronate,hydration
Hydroxypropyltrimonium HyaluronateHyaluronic Acid,hydration
Lanolin,"hydration, barrierrepair"
Mineral Oil,"hydration, barrierrepair"
PCA,hydration
Pentylene Glycol,hydration
Petrolatum,"hydration, barrierrepair"
Phytosphingosine,"hydration, barrierrepair, soothing"
Potassium Hyaluronate,hydration
Proline,hydration
Propylene Glycol,hydration
Serine,hydration
Shea Butter,hydration
Shea Butter (Butyrospermum Parkii Butter),hydration
Sodium PCA,"hydration, barrierrepair"
Sorbitol,hydration
Sphingolipids,"hydration, barrierrepair"
Threonine,hydration
Trehalose,"hydration, soothing"
Avena Sativa (Oat) Kernel Extract,"barrierrepair, soothing"
Avena Sativa Kernel Extract,"barrierrepair, soothing"
Calendula Officinalis Extract,barrierrepair
Ceramide EOS,barrierrepair
Fatty acids,barrierrepair
Hydrogenated Lecithin,barrierrepair
Lecithin,barrierrepair
Linoleic Acid,barrierrepair
